team,elo
Argentina,1929.841599274389
Spain,1916.6310353027534
France,1870.8598920580662
Morocco,1865.5028713917116
Brazil,1849.1671672191108
Japan,1845.263331320755
Portugal,1840.0745818429295
Germany,1830.9251734589736
Colombia,1829.4473787228887
England,1827.4590322267204
Mexico,1802.4526242976215
Netherlands,1802.0470363357483
Algeria,1801.023425017115
Ecuador,1798.1279092683308
Senegal,1795.3939319610836
Iran,1791.7192698517235
Italy,1781.4093598324596
Belgium,1780.796081828659
South Korea,1777.1969167726618
Croatia,1773.5152364249677
Uruguay,1769.3576292323519
Turkey,1768.8210140817696
Australia,1758.8469439241778
Austria,1755.6396732633607
United States,1753.4076144348899
Norway,1749.1897504373546
Canada,1747.388206205371
Nigeria,1746.8505427490804
Ivory Coast,1746.4078596054112
Denmark,1746.340940679255
Uzbekistan,1744.6119716356889
Switzerland,1743.7459016879727
Egypt,1734.1815436375691
Russia,1729.0640691768247
Paraguay,1717.360486893795
Iraq,1717.3438008828518
Panama,1695.729078804312
DR Congo,1691.86103236091
Ukraine,1691.4277287582704
Czech Republic,1686.911049160574
Jordan,1685.5601127511172
Jersey,1682.4242602628651
Tunisia,1675.5809678408177
Scotland,1674.259743038688
Sweden,1668.7365993500655
Poland,1663.5392997901567
Serbia,1659.6788884412708
Hungary,1658.9094908652949
Cameroon,1651.3894989707737
Saudi Arabia,1650.12741316217
Greece,1648.5763233433186
South Africa,1648.3737035189083
Venezuela,1647.7976161458776
Chile,1644.7451908251196
Costa Rica,1639.381559134969
Mali,1638.727656185252
United Arab Emirates,1633.0058182109876
Occitania,1631.4523612422513
Isle of Man,1630.366033117258
Republic of Ireland,1628.2665360866317
Slovenia,1626.6625348565042
Ynys Môn,1624.8157245851744
Guernsey,1623.088850030708
Cape Verde,1621.6536066603026
Haiti,1618.0843099934054
Basque Country,1617.8604371004233
Peru,1617.5275482454522
Burkina Faso,1614.6407569493751
Northern Cyprus,1606.9658173278947
New Zealand,1606.438420535854
Kosovo,1603.8357638282525
Jamaica,1603.8011221219542
Wales,1601.1469114119623
Isle of Wight,1599.1265651936935
Honduras,1597.4159174020913
Padania,1596.376804843913
Slovakia,1592.2898994827565
Abkhazia,1592.1181506831003
Iraqi Kurdistan,1588.1074555764146
Oman,1583.2610044301816
Georgia,1582.9508900508713
Qatar,1580.7491215614498
Thailand,1580.0684059174846
Réunion,1579.472997118395
Malaysia,1574.5454347517762
Ghana,1573.324077135732
Vietnam,1571.3676525682868
Romania,1567.2136711515507
Guatemala,1566.6349497670944
Kárpátalja,1565.8244982943208
County of Nice,1562.6875222871734
Bolivia,1560.4474026413654
Tamil Eelam,1558.877867112805
Curaçao,1557.3860353482528
Yorkshire,1554.983002948087
Bosnia and Herzegovina,1554.9259698191422
Kurdistan,1554.8359695740476
China,1550.8897217088468
Ellan Vannin,1549.5406531549922
Angola,1549.0739105339933
Israel,1547.695510646544
Corsica,1547.2760538544826
Zanzibar,1547.2011049937946
Suriname,1546.6226141153338
Artsakh,1544.3653157193246
Catalonia,1541.9249114081392
New Caledonia,1538.2932396848994
Syria,1536.7823697311585
Arameans Suryoye,1534.0957158533267
Northern Ireland,1532.0621879737766
Maule Sur,1528.6802751485857
Libya,1528.3129797453196
Cascadia,1528.084016347581
Palestine,1527.9781141477738
Albania,1526.5120536219595
Kernow,1525.0866051938585
Guadeloupe,1524.0167499055933
Panjab,1523.8286891367345
Tahiti,1521.5509073488745
Bahrain,1518.3762886233433
Indonesia,1518.2973135848233
Biafra,1516.3876956604993
Benin,1515.953419853528
Gabon,1515.2048835015632
Andalusia,1515.0
North Macedonia,1514.9858181159505
Quebec,1514.424660596525
Chameria,1514.309709831314
Surrey,1513.6198153680502
Parishes of Jersey,1513.5816565879845
Iceland,1512.936537632487
Sealand,1512.0691309092306
Guinea,1510.6997090187392
Elba Island,1510.3221483824805
Zambia,1507.8237182737791
Donetsk PR,1507.4408336341985
Franconia,1505.3237173543966
Menorca,1505.2338632900958
Felvidék,1504.801690209855
Mayotte,1503.4998329409698
Greenland,1503.0379537031902
Brittany,1502.4700644457012
Kuwait,1500.8126119232136
Matabeleland,1500.7263397597164
Mapuche,1500.6471999915343
Trinidad and Tobago,1500.6357578856914
United Koreans in Japan,1500.2154255181763
Rhodes,1500.0265913057008
Orkney,1499.4887215297213
Gozo,1499.2475478153738
Saugeais,1498.3046580029331
Guyana,1497.1076612191596
Dominican Republic,1496.9578368262953
Délvidék,1496.6087404307707
Gambia,1495.9001029070114
North Korea,1494.6594637182752
Uganda,1493.7624891541518
Galicia,1493.6582299511242
Shetland,1491.9852791479223
Papua New Guinea,1490.82359925801
Tajikistan,1488.7840017478657
Madagascar,1487.0709334200762
Cilento,1486.217722540952
Belarus,1485.3534412875633
Mozambique,1485.064396184892
Madrid,1485.0
Luhansk PR,1484.8877027038177
Seborga,1484.8677583030592
Ryūkyū,1484.56906502519
Yoruba Nation,1484.418856729188
Somaliland,1484.1033213595815
East Turkestan,1482.8686907851104
Hmong,1482.5166343469846
Western Armenia,1482.1894321003665
Monaco,1481.1372542080633
Finland,1480.906335274062
West Papua,1480.6076649581569
Kenya,1478.479506059004
Saare County,1477.7784880800275
El Salvador,1477.1808303164548
Provence,1476.945088206478
Nicaragua,1476.328446390095
Kabylia,1475.688406199084
South Ossetia,1474.8191459986692
Kyrgyzstan,1474.6691551752
Togo,1471.4947855840726
Aymara,1470.67252485988
Székely Land,1469.648090082631
Vanuatu,1467.368526288315
Åland Islands,1465.4227906742065
Equatorial Guinea,1465.016895382931
Montenegro,1463.9581484921073
Rwanda,1463.897706919738
Saint Barthélemy,1462.6240834421158
Comoros,1462.1565378365183
Ticino,1461.9713125180976
Lebanon,1461.7166277456372
Sierra Leone,1457.2684933204096
Martinique,1456.3567064948293
Zimbabwe,1455.2052119294124
Niger,1453.9522918683813
Romani people,1453.694873276867
Marshall Islands,1451.9822609083928
Hitra,1451.3852172877534
Sudan,1450.5221136721998
Western Sahara,1450.4048923647706
Mauritania,1449.1416477543034
French Guiana,1447.7361486676173
Fiji,1446.160956418777
Bulgaria,1445.822954845901
Turkmenistan,1445.3725568274876
Sápmi,1444.931277577236
Western Isles,1444.8511508973343
Kiribati,1443.7750806023842
Two Sicilies,1443.5019885784882
Puerto Rico,1443.5003323291269
Vatican City,1439.8884184470687
Hong Kong,1438.677833113857
Saint Vincent and the Grenadines,1437.462247125724
Philippines,1430.9662334111374
Gotland,1430.394441464717
Botswana,1429.8018671318491
Barawa,1427.5710461403328
Ethiopia,1423.8330316356594
Cuba,1423.0405173387671
Raetia,1422.6168978318076
Kazakhstan,1421.7412276191424
Malawi,1420.4719748781204
Singapore,1417.0963828568088
Sint Maarten,1415.8737765028593
Bermuda,1415.415303310256
Namibia,1411.2224637737959
Burundi,1410.7645983419864
Saint Pierre and Miquelon,1408.7467324179809
Solomon Islands,1408.048209479533
Darfur,1403.4517104946276
Tanzania,1402.2203138407388
Saint Martin,1398.973215713813
Samoa,1398.050202005153
Saint Helena,1397.981993100919
Luxembourg,1396.983529878334
Saint Kitts and Nevis,1395.7282273909457
Lesotho,1394.4405999872645
Chagos Islands,1393.3806840891866
Tibet,1389.2062752009804
Liberia,1387.931637721318
Central African Republic,1386.9209677141187
Guinea-Bissau,1385.2084624182428
Belize,1383.0365191539636
Estonia,1374.8032175686287
Montserrat,1373.5239315470183
Tuvalu,1371.9806932288875
Falkland Islands,1371.3993196109145
Cook Islands,1369.1300717672796
Yemen,1368.8626068489846
Armenia,1366.580891860161
Grenada,1364.1303600869317
Congo,1359.9648559689247
Saint Lucia,1359.8181153811865
Azerbaijan,1358.1227075663887
Frøya,1353.469386683598
Eritrea,1353.3329891131134
India,1350.9086408043952
Eswatini,1349.5804336599117
Faroe Islands,1344.45679029938
Malta,1344.4006897298057
Aruba,1337.7578882778992
Afghanistan,1337.463144960938
Cyprus,1336.4047156147928
Northern Mariana Islands,1329.7151969604038
Myanmar,1316.128396821608
Bangladesh,1315.559142087809
Dominica,1315.3008910257342
Bonaire,1314.3309359824025
South Sudan,1312.877719053743
Latvia,1309.4378641386706
Tonga,1308.155012326129
Turks and Caicos Islands,1301.495620552623
Alderney,1299.0388312763466
Chad,1297.6132556399082
Mauritius,1296.6258764914733
Lithuania,1295.994608851091
Moldova,1292.1893837400678
Antigua and Barbuda,1288.9885814481981
American Samoa,1288.4160569388346
Nepal,1285.9060947550026
Barbados,1276.8259736100051
Taiwan,1276.2255736972818
Cayman Islands,1273.4035308455852
Cambodia,1267.374950875866
São Tomé and Príncipe,1261.6855689607094
British Virgin Islands,1253.2281177914415
Somalia,1250.6982211177353
Sri Lanka,1244.6720200267234
United States Virgin Islands,1242.0134436135043
Djibouti,1241.3707290541363
Pakistan,1240.1979472486732
Guam,1229.7361027950974
Brunei,1229.3204039706384
Mongolia,1225.8835514107325
Maldives,1216.8091724620765
Gibraltar,1213.7449436278157
Bahamas,1208.0388777619196
Laos,1206.212666345369
Anguilla,1181.6187955807295
Macau,1172.477126563718
Andorra,1166.6043220753395
Timor-Leste,1160.7102073969716
Seychelles,1146.3753491038688
Bhutan,1144.4686019076246
Liechtenstein,1072.0299594977482
San Marino,1020.2996681607519
